,adj1,adj2,adj3,adj4
ENSG00000064300-ENSG00000176697,0.0,1.0,0.0,0.0
ENSG00000100311-ENSG00000134853,0.0,1.0,0.0,0.0
ENSG00000104332-ENSG00000134245,0.0,1.0,0.0,0.0
ENSG00000134245-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000259384-ENSG00000112964,0.0,1.0,0.0,0.0
ENSG00000163485-ENSG00000138185,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000110400,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000122218,0.0,1.0,0.0,0.0
ENSG00000185652-ENSG00000140538,0.0,0.0,0.0,0.0
ENSG00000259384-ENSG00000113494,0.0,0.0,0.0,0.0
ENSG00000028137-ENSG00000030582,0.0,1.0,0.0,0.0
ENSG00000183454-ENSG00000172349,0.0,0.0,0.0,0.0
ENSG00000128271-ENSG00000138185,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000090932,0.0,1.0,0.0,0.0
ENSG00000011600-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000144476-ENSG00000107562,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000070886,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000128602,0.0,1.0,0.0,0.0
ENSG00000185737-ENSG00000178568,0.0,1.0,0.0,0.0
ENSG00000113361-ENSG00000113361,0.0,1.0,0.0,0.0
ENSG00000070886-ENSG00000143590,0.0,1.0,0.0,0.0
ENSG00000143590-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000026508-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000240972,0.0,1.0,0.0,0.0
ENSG00000188064-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000197461-ENSG00000134853,0.0,1.0,0.0,0.0
ENSG00000099250-ENSG00000112715,0.0,1.0,0.0,0.0
ENSG00000120156-ENSG00000154188,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000114812,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000044524,0.0,1.0,0.0,0.0
ENSG00000068078-ENSG00000102678,0.0,1.0,0.0,0.0
ENSG00000044524-ENSG00000184349,0.0,1.0,0.0,0.0
ENSG00000146469-ENSG00000197635,0.0,1.0,0.0,0.0
ENSG00000138685-ENSG00000068078,0.0,0.0,0.0,0.0
ENSG00000070193-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000130202-ENSG00000177707,0.0,0.0,0.0,0.0
ENSG00000241563-ENSG00000132671,0.0,1.0,0.0,0.0
ENSG00000105976-ENSG00000019991,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000105329,0.0,1.0,0.0,0.0
ENSG00000179776-ENSG00000179776,0.0,1.0,0.0,0.0
ENSG00000134245-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000060656-ENSG00000163377,0.0,1.0,0.0,0.0
ENSG00000198719-ENSG00000148400,0.0,1.0,0.0,0.0
ENSG00000181195-ENSG00000082556,0.0,0.0,0.0,0.0
ENSG00000180616-ENSG00000157005,0.0,1.0,0.0,0.0
ENSG00000161955-ENSG00000067182,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000136040-ENSG00000138623,0.0,1.0,0.0,0.0
ENSG00000104332-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000142192-ENSG00000137642,0.0,0.0,0.0,0.0
ENSG00000197635-ENSG00000107562,0.0,1.0,0.0,0.0
ENSG00000146674-ENSG00000149932,0.0,1.0,0.0,0.0
ENSG00000154928-ENSG00000108947,0.0,0.0,0.0,0.0
ENSG00000101384-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000065320-ENSG00000187323,0.0,1.0,0.0,0.0
ENSG00000183395-ENSG00000128285,0.0,0.0,0.0,0.0
ENSG00000162998-ENSG00000134245,0.0,1.0,0.0,0.0
ENSG00000154928-ENSG00000090776,0.0,1.0,0.0,0.0
ENSG00000132671-ENSG00000157005,0.0,1.0,0.0,0.0
ENSG00000170775-ENSG00000197746,0.0,1.0,0.0,0.0
ENSG00000077782-ENSG00000149294,0.0,1.0,0.0,0.0
ENSG00000118271-ENSG00000064300,0.0,0.0,0.0,0.0
ENSG00000241563-ENSG00000180616,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000099250-ENSG00000075213,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000120057-ENSG00000134245,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000184916,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000101384,0.0,1.0,0.0,0.0
ENSG00000149564-ENSG00000149564,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000169604,0.0,1.0,0.0,0.0
ENSG00000196411-ENSG00000108947,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000130164,0.0,1.0,0.0,0.0
ENSG00000170381-ENSG00000004399,0.0,1.0,0.0,0.0
ENSG00000069702-ENSG00000163377,0.0,1.0,0.0,0.0
ENSG00000182580-ENSG00000108947,0.0,1.0,0.0,0.0
ENSG00000197696-ENSG00000135577,0.0,1.0,0.0,0.0
ENSG00000137642-ENSG00000163377,0.0,1.0,0.0,0.0
ENSG00000187266-ENSG00000049130,0.0,0.0,0.0,0.0
ENSG00000122218-ENSG00000134243,0.0,1.0,0.0,0.0
ENSG00000169218-ENSG00000205213,0.0,1.0,0.0,0.0
ENSG00000113578-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000158955-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000188064-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000065361-ENSG00000157168,0.0,1.0,0.0,0.0
ENSG00000196189-ENSG00000004399,0.0,1.0,0.0,0.0
ENSG00000099250-ENSG00000173511,0.0,1.0,0.0,0.0
ENSG00000184349-ENSG00000145242,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000139874-ENSG00000157005,0.0,1.0,0.0,0.0
ENSG00000162706-ENSG00000105767,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000030582,0.0,1.0,0.0,0.0
ENSG00000149294-ENSG00000176697,0.0,1.0,0.0,0.0
ENSG00000156687-ENSG00000074527,0.0,1.0,0.0,0.0
ENSG00000182580-ENSG00000090776,0.0,1.0,0.0,0.0
ENSG00000118785-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000145147-ENSG00000185008,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000145242,0.0,1.0,0.0,0.0
ENSG00000159899-ENSG00000163273,0.0,1.0,0.0,0.0
ENSG00000185652-ENSG00000148053,0.0,0.0,0.0,0.0
ENSG00000198719-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000169836-ENSG00000166863,0.0,0.0,0.0,0.0
ENSG00000091831-ENSG00000176697,0.0,0.0,0.0,0.0
ENSG00000108379-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000101200-ENSG00000180914,0.0,0.0,0.0,0.0
ENSG00000188064-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000101958-ENSG00000196937,0.0,1.0,0.0,0.0
ENSG00000104332-ENSG00000111186,0.0,1.0,0.0,0.0
ENSG00000171587-ENSG00000065320,0.0,1.0,0.0,0.0
ENSG00000185559-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000167601-ENSG00000183087,0.0,1.0,0.0,0.0
ENSG00000013725-ENSG00000170017,0.0,0.0,0.0,0.0
ENSG00000188064-ENSG00000156076,0.0,0.0,0.0,0.0
ENSG00000115138-ENSG00000112038,0.0,1.0,0.0,0.0
ENSG00000116106-ENSG00000090776,0.0,0.0,0.0,0.0
ENSG00000117335-ENSG00000101384,0.0,1.0,0.0,0.0
ENSG00000198719-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000168758,0.0,1.0,0.0,0.0
ENSG00000182578-ENSG00000157368,0.0,1.0,0.0,0.0
ENSG00000182168-ENSG00000065320,0.0,1.0,0.0,0.0
ENSG00000181195-ENSG00000116329,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000081237-ENSG00000187764,0.0,0.0,0.0,0.0
ENSG00000135218-ENSG00000186340,0.0,1.0,0.0,0.0
ENSG00000176697-ENSG00000134243,0.0,0.0,0.0,0.0
ENSG00000164050-ENSG00000187764,0.0,1.0,0.0,0.0
ENSG00000137801-ENSG00000135218,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000113070,0.0,1.0,0.0,0.0
ENSG00000135414-ENSG00000169604,0.0,1.0,0.0,0.0
ENSG00000176697-ENSG00000158769,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000112149,0.0,0.0,0.0,0.0
ENSG00000157168-ENSG00000205213,0.0,0.0,0.0,0.0
ENSG00000138685-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000110400-ENSG00000143217,0.0,1.0,0.0,0.0
ENSG00000106123-ENSG00000108947,0.0,1.0,0.0,0.0
ENSG00000138685-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000092445-ENSG00000183087,0.0,1.0,0.0,0.0
ENSG00000196411-ENSG00000090776,0.0,1.0,0.0,0.0
ENSG00000176697-ENSG00000148053,0.0,1.0,0.0,0.0
ENSG00000105329-ENSG00000169083,0.0,1.0,0.0,0.0
ENSG00000081237-ENSG00000260314,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000095539,0.0,1.0,0.0,0.0
ENSG00000158955-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000162706-ENSG00000088367,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000153233,0.0,0.0,0.0,0.0
ENSG00000073008-ENSG00000177707,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000181195-ENSG00000112038,0.0,0.0,0.0,0.0
ENSG00000138685-ENSG00000077782,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000185559,0.0,1.0,0.0,0.0
ENSG00000273079-ENSG00000172349,0.0,1.0,0.0,0.0
ENSG00000091879-ENSG00000120156,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000136999,0.0,1.0,0.0,0.0
ENSG00000017427-ENSG00000140443,0.0,1.0,0.0,0.0
ENSG00000125510-ENSG00000168081,0.0,1.0,0.0,0.0
ENSG00000087494-ENSG00000144407,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000111186,0.0,1.0,0.0,0.0
ENSG00000153208-ENSG00000183087,0.0,1.0,0.0,0.0
ENSG00000119699-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000146072-ENSG00000142192,0.0,1.0,0.0,0.0
ENSG00000134853-ENSG00000145431,0.0,1.0,0.0,0.0
ENSG00000115138-ENSG00000082556,0.0,0.0,0.0,0.0
ENSG00000146469-ENSG00000114812,0.0,1.0,0.0,0.0
ENSG00000113578-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000070388,0.0,0.0,0.0,0.0
ENSG00000130283-ENSG00000164270,0.0,0.0,0.0,0.0
ENSG00000169242-ENSG00000145242,0.0,1.0,0.0,0.0
ENSG00000113389-ENSG00000163273,0.0,1.0,0.0,0.0
ENSG00000162337-ENSG00000171243,0.0,1.0,0.0,0.0
ENSG00000145423-ENSG00000111186,0.0,1.0,0.0,0.0
ENSG00000147655-ENSG00000205213,0.0,1.0,0.0,0.0
ENSG00000081138-ENSG00000081138,0.0,1.0,0.0,0.0
ENSG00000068078-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000157168-ENSG00000178568,0.0,0.0,0.0,0.0
ENSG00000129219-ENSG00000143761,0.0,1.0,0.0,0.0
ENSG00000162706-ENSG00000177707,0.0,1.0,0.0,0.0
ENSG00000134250-ENSG00000090932,0.0,1.0,0.0,0.0
ENSG00000145423-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000072274-ENSG00000091513,0.0,1.0,0.0,0.0
ENSG00000241563-ENSG00000139874,0.0,1.0,0.0,0.0
ENSG00000166086-ENSG00000166086,0.0,0.0,0.0,0.0
ENSG00000113578-ENSG00000068078,0.0,1.0,0.0,0.0
ENSG00000113721-ENSG00000170962,0.0,1.0,0.0,0.0
ENSG00000185559-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000116106,0.0,0.0,0.0,0.0
ENSG00000184349-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000163235,0.0,1.0,0.0,0.0
ENSG00000134259-ENSG00000134243,0.0,1.0,0.0,0.0
ENSG00000163377-ENSG00000011028,0.0,1.0,0.0,0.0
ENSG00000167244-ENSG00000140443,0.0,1.0,0.0,0.0
ENSG00000116106-ENSG00000108947,0.0,1.0,0.0,0.0
ENSG00000241563-ENSG00000278195,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000101327-ENSG00000116329,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000143324,0.0,1.0,0.0,0.0
ENSG00000172349-ENSG00000161509,0.0,1.0,0.0,0.0
ENSG00000125266-ENSG00000196411,0.0,1.0,0.0,0.0
ENSG00000101327-ENSG00000082556,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000135925,0.0,1.0,0.0,0.0
ENSG00000184500-ENSG00000167601,0.0,1.0,0.0,0.0
ENSG00000187122-ENSG00000169855,0.0,1.0,0.0,0.0
ENSG00000182578-ENSG00000184371,0.0,0.0,0.0,0.0
ENSG00000065320-ENSG00000107731,0.0,0.0,0.0,0.0
ENSG00000105989-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000090932-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000067182-ENSG00000030582,0.0,1.0,0.0,0.0
ENSG00000111186-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000182985-ENSG00000182985,0.0,1.0,0.0,0.0
ENSG00000138685-ENSG00000127418,0.0,1.0,0.0,0.0
ENSG00000019991-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000118257-ENSG00000112715,0.0,1.0,0.0,0.0
ENSG00000184371-ENSG00000008300,0.0,0.0,0.0,0.0
ENSG00000189056-ENSG00000157193,0.0,1.0,0.0,0.0
ENSG00000030582-ENSG00000134243,0.0,0.0,0.0,0.0
ENSG00000128052-ENSG00000150630,0.0,0.0,0.0,0.0
ENSG00000158955-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000154721-ENSG00000166086,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000145147-ENSG00000169855,0.0,1.0,0.0,0.0
ENSG00000148053-ENSG00000074527,0.0,1.0,0.0,0.0
ENSG00000070886-ENSG00000184349,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000102678,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000044524,0.0,1.0,0.0,0.0
ENSG00000184371-ENSG00000139514,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000064300-ENSG00000185652,0.0,1.0,0.0,0.0
ENSG00000112902-ENSG00000198753,0.0,0.0,0.0,0.0
ENSG00000148400-ENSG00000162552,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000100311-ENSG00000113721,0.0,1.0,0.0,0.0
ENSG00000239697-ENSG00000215788,0.0,1.0,0.0,0.0
ENSG00000165197-ENSG00000128052,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000157168,0.0,1.0,0.0,0.0
ENSG00000105464-ENSG00000172349,0.0,1.0,0.0,0.0
ENSG00000185896-ENSG00000196937,0.0,1.0,0.0,0.0
ENSG00000019582-ENSG00000142192,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000152894,0.0,1.0,0.0,0.0
ENSG00000125266-ENSG00000182580,0.0,0.0,0.0,0.0
ENSG00000157404-ENSG00000049130,0.0,0.0,0.0,0.0
ENSG00000019582-ENSG00000122218,0.0,1.0,0.0,0.0
ENSG00000074181-ENSG00000184916,0.0,1.0,0.0,0.0
ENSG00000170775-ENSG00000219438,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000187764,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000196352-ENSG00000123146,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000078549,0.0,1.0,0.0,0.0
ENSG00000278195-ENSG00000157005,0.0,0.0,0.0,0.0
ENSG00000072274-ENSG00000102524,0.0,0.0,0.0,0.0
ENSG00000169418-ENSG00000163273,0.0,1.0,0.0,0.0
ENSG00000120057-ENSG00000111186,0.0,1.0,0.0,0.0
ENSG00000100311-ENSG00000123384,0.0,1.0,0.0,0.0
ENSG00000105894-ENSG00000105426,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000143590-ENSG00000145242,0.0,1.0,0.0,0.0
ENSG00000157168-ENSG00000105699,0.0,1.0,0.0,0.0
ENSG00000118271-ENSG00000204580,0.0,0.0,0.0,0.0
ENSG00000114251-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000167244-ENSG00000119912,0.0,1.0,0.0,0.0
ENSG00000102755-ENSG00000173511,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000018236,0.0,1.0,0.0,0.0
ENSG00000026508-ENSG00000113070,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000143816-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000105894-ENSG00000106278,0.0,0.0,0.0,0.0
ENSG00000134250-ENSG00000184916,0.0,0.0,0.0,0.0
ENSG00000162552-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000156427-ENSG00000068078,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000105894,0.0,1.0,0.0,0.0
ENSG00000174600-ENSG00000106538,0.0,1.0,0.0,0.0
ENSG00000105329-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000170558-ENSG00000170558,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000068078,0.0,1.0,0.0,0.0
ENSG00000261371-ENSG00000004468,0.0,1.0,0.0,0.0
ENSG00000136487-ENSG00000112964,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000101144-ENSG00000152894,0.0,1.0,0.0,0.0
ENSG00000154639-ENSG00000196937,0.0,1.0,0.0,0.0
ENSG00000164690-ENSG00000164161,0.0,1.0,0.0,0.0
ENSG00000133636-ENSG00000134243,0.0,1.0,0.0,0.0
ENSG00000149294-ENSG00000168621,0.0,0.0,0.0,0.0
ENSG00000188157-ENSG00000149294,0.0,1.0,0.0,0.0
ENSG00000070018-ENSG00000171243,0.0,1.0,0.0,0.0
ENSG00000189056-ENSG00000147852,0.0,1.0,0.0,0.0
ENSG00000187094-ENSG00000110148,0.0,0.0,0.0,0.0
ENSG00000044524-ENSG00000143590,0.0,1.0,0.0,0.0
ENSG00000184349-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000105894-ENSG00000171094,0.0,0.0,0.0,0.0
ENSG00000198910-ENSG00000198910,0.0,1.0,0.0,0.0
ENSG00000167244-ENSG00000197081,0.0,0.0,0.0,0.0
ENSG00000170075-ENSG00000197746,0.0,1.0,0.0,0.0
ENSG00000182985-ENSG00000177707,0.0,0.0,0.0,0.0
ENSG00000157168-ENSG00000171208,0.0,1.0,0.0,0.0
ENSG00000163956-ENSG00000134243,0.0,1.0,0.0,0.0
ENSG00000091831-ENSG00000066468,0.0,0.0,0.0,0.0
ENSG00000125266-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000183150-ENSG00000168913,0.0,1.0,0.0,0.0
ENSG00000113578-ENSG00000077782,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000110400-ENSG00000162706,0.0,1.0,0.0,0.0
ENSG00000106123-ENSG00000090776,0.0,1.0,0.0,0.0
ENSG00000120057-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000006128-ENSG00000115353,0.0,0.0,0.0,0.0
ENSG00000107731-ENSG00000074527,0.0,1.0,0.0,0.0
ENSG00000068078-ENSG00000110400,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000070886,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000146469-ENSG00000106018,0.0,0.0,0.0,0.0
ENSG00000156427-ENSG00000066468,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000106123-ENSG00000125266,0.0,0.0,0.0,0.0
ENSG00000188157-ENSG00000105426,0.0,1.0,0.0,0.0
ENSG00000143816-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000112715-ENSG00000128052,0.0,1.0,0.0,0.0
ENSG00000170425-ENSG00000138185,0.0,1.0,0.0,0.0
ENSG00000125266-ENSG00000154928,0.0,0.0,0.0,0.0
ENSG00000118257-ENSG00000075223,0.0,0.0,0.0,0.0
ENSG00000184500-ENSG00000092445,0.0,1.0,0.0,0.0
ENSG00000118257-ENSG00000001617,0.0,1.0,0.0,0.0
ENSG00000188064-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000161610-ENSG00000137252,0.0,0.0,0.0,0.0
ENSG00000072071-ENSG00000157168,0.0,0.0,0.0,0.0
ENSG00000087494-ENSG00000160801,0.0,1.0,0.0,0.0
ENSG00000101188-ENSG00000133636,0.0,1.0,0.0,0.0
ENSG00000138207-ENSG00000137868,0.0,1.0,0.0,0.0
ENSG00000134259-ENSG00000064300,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000106018,0.0,0.0,0.0,0.0
ENSG00000101327-ENSG00000112038,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000197635,0.0,0.0,0.0,0.0
ENSG00000125845-ENSG00000128602,0.0,1.0,0.0,0.0
ENSG00000143590-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000101384-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000105426-ENSG00000140538,0.0,0.0,0.0,0.0
ENSG00000154134-ENSG00000184613,0.0,0.0,0.0,0.0
ENSG00000148346-ENSG00000092096,0.0,0.0,0.0,0.0
ENSG00000178568-ENSG00000113070,0.0,1.0,0.0,0.0
ENSG00000115138-ENSG00000116329,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000134250-ENSG00000018236,0.0,1.0,0.0,0.0
ENSG00000128271-ENSG00000105835,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000065320-ENSG00000113763,0.0,1.0,0.0,0.0
ENSG00000092969-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000162706-ENSG00000182985,0.0,0.0,0.0,0.0
ENSG00000113494-ENSG00000204414,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000156076,0.0,0.0,0.0,0.0
ENSG00000158955-ENSG00000145423,0.0,0.0,0.0,0.0
ENSG00000112715-ENSG00000273079,0.0,1.0,0.0,0.0
ENSG00000110400-ENSG00000177707,0.0,1.0,0.0,0.0
ENSG00000205213-ENSG00000146374,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000185483,0.0,1.0,0.0,0.0
ENSG00000019582-ENSG00000240972,0.0,1.0,0.0,0.0
ENSG00000112715-ENSG00000102755,0.0,0.0,0.0,0.0
